TRAIL_NUMBER,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,MANAGING_ORG,SECURITY_ID,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,OBJECTID,GLOBALID,SHAPELEN
1325,LITTLE SALMON LA SAC,TERRA,8500.004574,0,1.1,1.1,61703,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939,NA,NA,64657,{32184FCF-06C3-44C0-9478-B13342282215},0.0170276000
1329,WAPTUS PASS,TERRA,8506.004574,0,5.95,5.95,61703,617,0,NA,TC4-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.767,NA,NA,64658,{C5EBFE1E-95D4-4E4A-8687-D36D0F553AF1},0.0916243830
1315.3,KACHESS BEACON,TERRA,8482.004574,0,0.93,0.93,61703,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768,NA,NA,64659,{37A0F688-F6F7-4D28-A402-00BCD1ADA0B2},0.0120940350
1314,SILVER PEAK,TERRA,8478.004574,0,3.1,3.1,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.224,NA,NA,64660,{33912B98-8A0C-4C05-B891-A26B48A62F8D},0.0509544210
1329.3,WAPTUS BURN,TERRA,8509.004574,0,1.78,1.78,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.788,NA,NA,64661,{22C5CD38-1A67-4B25-AFAE-131D96FDEB7D},0.0327782960
1327,OWHI CAMPGROUND,TERRA,8503.004574,0,1.6,1.6,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.108,NA,NA,64662,{3AC689C0-6B35-401A-AEE5-9F0921564CE7},0.0207557200
1329.1,WAPTUS HORSE FORD,TERRA,8507.004574,0,0.48,0.48,61703,617,0,NA,TC4-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471,NA,NA,64663,{F792745E-6197-4CE9-9A6C-35BCE1268B95},0.0073155700
1326,CLE ELUM RIDGE,TERRA,8501.004574,0,15.4,15.4,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.626,NA,NA,64664,{7C3D4F79-9AE9-4094-97B9-F9313EADAFAB},0.2769012230
1334,LITTLE CREEK BASIN,TERRA,8516.004574,0,4.66,4.66,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.907,NA,NA,64665,{5598C814-EA2D-4AD6-BAE0-800B62F42158},0.0756925070
1363,TANEUM RIDGE,TERRA,8541.004574,0,12.1,12.1,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.797,NA,NA,64666,{6BF5B60F-69AD-4BC9-B39C-C82FFEA4A512},0.2047907530
